Name,Description,Include,Notes
CC16_340i,SCOTUS ideo rating,no,
CC16_340g,Dem party ideo rating,no,
multrace_97,racial group - other,no,
multrace_99,racial group - none of the above,no,
CC16_340h,GOP ideo rating,no,
CC16_322d,rep name recall + party,no,
CC16_337_2,Deficit- cut domestic spending,maybe,rank from 1-3 (against other two options)
internetwork,internet access at work or school,maybe,
CC16_337_1,Deficit - cut defense spending,maybe,rank from 1-3
CC16_337_3,Deficit - raise taxes,maybe,
CC16_364c,pres preference,no,depends on post or pre
HouseCand1Name,,no,
HouseCand1Party,,no,
CC16_367,house pref,maybe,"options are housecand1, housecand2, not sure. Need to do cleaning to convert to party"
HouseCand2Name,,no,
HouseCand2Party,,no,
CC16_340n,house cand 1 ideo rating,no,
CC16_340o,house cand 2 ideo rating,no,
dma,designated market area,no,
dmaname,,,
hispanic,are you hispanic,yes,"didn't ask the people who selected ""hispanic"" for race, which should be encoded as yes"
commonweight_vv_lgbt,weight,no,
votereg_f,registered to vote,no,don't know the difference between this and votereg
CC16_360,party registration,maybe,
sexuality,,yes,
investor,money in stock market,yes,
trans,undergone process to change gender or perceived gender,yes,only about 1%
industryclass,industry classification,maybe,lot of options
CC16_340j,rating of current senator ideo,no,
commonweight_vv_post,,no,
lookupzip_post,,no,
cdid113_post,CD 113th,no,
cdid115_post,CD 115th congress,no,
inputstate_post,state post,yes,
votereg_post,vote registration status,yes,
countyfips_post,,no,
countyname_post,,no,
GovCand1Incumbent_post,,no,
GovCand2Incumbent_post,,no,
HouseCand1Incumbent_post,,no,
HouseCand2Incumbent_post,,no,
SenCand1Incumbent_post,,no,
SenCand2Incumbent_post,,no,
CC16_414_1,approve of use of military to ensure oil supply,yes,
CC16_414_2,approve of military to destroy terrorist camp,yes,
CC16_414_3,approve of military to intervene in genocide or civil war,yes,
CC16_414_4,approve of military to assist spread of democracy,yes,
CC16_414_5,approve of military to protect allies under attack,yes,
CC16_414_6,approve of military to help UN uphold I law,yes,
CC16_414_7,approve of military - none of the above,no,redundant
CC16_417a_1,attend local pol meeting in last year,yes,
CC16_417a_2,put up political sign in last year,yes,
CC16_417a_3,work for campaign in last year,yes,
CC16_417a_4,donate money to campaign or pol org in last year,yes,
CC16_417a_5,donate blood in last year,yes,
CC16_417a_6,did none of these last year,no,redundant
starttime_post,,no,
endtime_post,,no,
CC16_421a,"3 point party ID (Dem, Rep, Independent) - post",yes,
CC16_422d,agree - white ppl have advantages,yes,5 point scale - collapse?
CC16_425a,did candidate contact you in 2016,no,
CC16_422c,angry racism exists,yes,5 point scale - collapse?
CC16_427_a,grade of local schools,maybe,A through F
edloan,have student debt,yes,
CC16_422f,racial problems are rare or isolated,yes,5 point scale
CC16_422e,I am fearful of other races,yes,5 point scale
CC16_427_c,Grade local roads,maybe,A - F
CC16_427_b,Grade local police,maybe,A - F
CC16_426_1,State legislature - increase or decrease welfare,yes,"5 point scale - greatly increase, slight increase, maintain, …"
CC16_426_2,state legislature - increase or decrease healthcare,yes,5 point scale
CurrentGovName_post,,no,
CurrentGovParty_post,,no,
CurrentSen1Gender_post,,no,
CurrentSen1Name_post,,no,
CurrentSen1Party_post,,no,
CurrentSen2Gender_post,,no,
CurrentSen2Name_post,,no,
CurrentSen2Party_post,,no,
LegName_post,,no,
LowerChamberName_post,,no,
CC16_426_3,state legis- spending on educaiton,yes,5 point scale
CC16_426_5,state legis - infra spending,yes,
CC16_427_e,Grade mayor,maybe,A - F
CC16_418a,have you ever run for office,yes,
CC16_427_d,Grade zoning and development,maybe,A - F
CC16_426_4,State legis - spending on law enforcement,yes,5 point scale
CC16_427_f,Grade town/city council,no,
CurrentHouseGender_post,,no,
CurrentHouseName_post,,no,
CurrentHouseParty_post,,no,
HouseCand1Name_post,,no,
HouseCand1Party_post,,no,
CC16_423a,race of house candiadte 1,no,
HouseCand2Name_post,,no,
HouseCand2Party_post,,no,
CC16_423b,race of house cand 2,no,
CC16_401,did you vote in general election 2016,yes,"3725 not asked- figure out why. 5 options, but 4 imply no and 1 is definitely voted"
CC16_326,who did you vote for president 2012,yes,
CC16_410a,who did you vote for president 2016,yes,
